level2_detailed	annotation_ccc	collapsed_to_mpnst_tumor	ccc_compartment	ccc_ready	mapping_rationale
MPNST-like malignant (SCP-like)	MPNST-Tumor	TRUE	MPNST-Tumor	TRUE	Positive MPNST lineage-marker evidence: C9 retains MPZ with GFRA3, CRYAB, NOV(CCN3), RSPO3 and the neural-crest stem marker ABCB5; C8 expresses L1CAM, the reported SCP-like malignant marker. Both confirmed as top-scoring on the canonical malignant/Schwann panel in the M16 review. Sufficient positive evidence of malignant MPNST identity.
MPNST-like malignant (NC-like)	MPNST-Tumor	TRUE	MPNST-Tumor	TRUE	Positive evidence: SHH expression with the Schwann-associated GAL3ST1 and KLK6, matching the reported SHH-activated NC-like MPNST-G1 subgroup. Confirmed as top-scoring on the canonical malignant panel in the M16 review.
Schwann-lineage tumour-like	MPNST-Tumor	TRUE	MPNST-Tumor	TRUE	Coherent Schwann/neural tumour-like programme (NLGN1, TENM2, NDST4, EPHB1, COL25A1, ROBO2, ZNF423) with no competing immune, stromal or endothelial identity. Classical Schwann markers are absent, which is consistent with the reported down-regulation of SOX10/CNP/PMP22/NGFR in MPNST relative to neurofibroma rather than evidence against a nerve-sheath lineage. The M16 panel review downgraded confidence to Low; the label is retained and collapsed, and the confidence caveat travels with it.
Cycling tumour-like	MPNST-Tumor	TRUE	MPNST-Tumor	TRUE	Proliferating population within the malignant compartment (TOP2A, UBE2C, NEK2, KIF20A, DLGAP5, HJURP, ASPM). The G2/M programme masks lineage identity, so this is collapsed with a documented caveat: cycling cells of any lineage can co-cluster, and a minority of cycling immune or stromal cells may be included.
Candidate malignant	Candidate-Malignant-Unresolved	FALSE	Uncertain	FALSE	NOT collapsed. The detailed label is explicitly provisional, confidence is Low, and the only evidence is neural-programme expression in clusters that are 93-99 percent one patient (C13, C17, C18). Patient-private expression alone is weak evidence for malignancy, and absorbing these cells would inflate MPNST-Tumor with cells whose malignant identity is unestablished. Retained as a separate identity so they are visible and excludable, and so they can be promoted later if CNV evidence supports them.
T cell	T-NK-parent	FALSE	Immune	TRUE	Parent cluster C4 is CD3D/E/G+ with GZMA, GZMK, CCL5 and KLRB1 but is not sub-resolved at Harmony resolution 1.0. Sub-assigned per cell into CD8-T, CD4-T, NK and T-cell-other by canonical marker gating, restricted to this cluster only. See CCC_ANNOTATION_MAPPING.tsv for the resulting counts.
Macrophage	Macrophage	FALSE	Immune	TRUE	Two macrophage clusters retained as one CCC identity: C1 FOLR2+ resident-like (RNASE1, CD163, FOLR2, F13A1, C1QA, SIGLEC1, STAB1) and C6 inflammatory (IL1A, IL1B, CCL3, CCL4, CXCL2, CXCL3). Both are unambiguously macrophage; the polarisation distinction is preserved in the detailed annotation and can be split later.
Monocyte	Monocyte	FALSE	Immune	TRUE	Classical monocyte markers S100A8, S100A9, S100A12, FCN1, CD300E, AQP9 (C24). Kept separate from macrophage because monocytes and macrophages have distinct ligand repertoires.
Dendritic cell	Dendritic	FALSE	Immune	TRUE	cDC2 markers CD1C, CD1E, FCER1A, CLEC10A, FLT3 (C10). Retained as a distinct antigen-presenting identity.
Plasmacytoid dendritic cell	Plasmacytoid-DC	FALSE	Immune	TRUE	Decisive pDC markers LILRA4, CLEC4C(BDCA2), SPIB, GZMB (C21). Kept separate from cDC2 because pDCs are a distinct type I interferon source, which matters for communication analysis.
Plasma cell	Plasma-cell	FALSE	Immune	TRUE	Full secretory programme JCHAIN(IGJ), MZB1, XBP1, FKBP11, SSR4, SEC11C, ERN1 (C2). Distributed across samples.
B cell / plasmablast	B-cell	FALSE	Immune	TRUE	CD79A, POU2AF1, MZB1, FCRL5 (C22). Small (233 cells) and subject to the M12 caveat C1 (B/plasma cohesion fell 44 percent under Harmony), so flagged in the size audit rather than merged.
Endothelial cell	Endothelial	FALSE	Endothelial	TRUE	Two endothelial clusters retained as one CCC identity: C11 tip/angiogenic (ESM1, ANGPT2, APLN, DLL4, FLT1) and C19 venous/lymphatic (ACKR1, SELP, CCL14, MMRN1). Kept as one population because the tumour-endothelial communication axis is the object of interest; the subtypes remain in the detailed annotation.
Fibroblast	Fibroblast	FALSE	Fibroblast-Stromal	TRUE	Four fibroblast clusters (C0 ECM/CAF-like, C3 PI16+ epineurial-like, C5 COMP/CILP tendon-like, C25 COL10A1+ CAF-like). NOT collapsed into MPNST-Tumor. These carry canonical fibroblast markers, and although MPNST Mes-NC-like malignant cells can express mesenchymal/ECM programmes, that possibility is an unresolved hypothesis requiring CNV evidence, not established malignancy. Absorbing them would be exactly the prohibited non-immune-equals-tumour inference.
Mural (pericyte / VSMC)	Pericyte-VSMC	FALSE	Fibroblast-Stromal	TRUE	Contractile mural markers MYH11, ACTG2, MYOCD, PLN, RGS5, NOTCH3, HIGD1B (C16). Kept distinct from fibroblast because pericytes are a separate perivascular communication partner.
Uncertain	Uncertain	FALSE	Uncertain	FALSE	NOT collapsed. C12 carries both a hypoxia programme and the reported perineurial GLUT1/ITGB4/ITGA6/CAV1 signature - malignant-hypoxic and perineurial are both defensible and cannot be distinguished without CNV or GLUT1/EMA IHC. C23 is dominated by ribosomal pseudogenes and lncRNAs, a low-complexity signature rather than a lineage. Both retained as Uncertain and flagged not CCC-ready.
Low-quality / mitochondrial-high	Low-quality-excluded	FALSE	Other	FALSE	NOT collapsed. C15 top markers are almost entirely mitochondrial transcripts and it is 96 percent MPNST_4, matching the Phase 1 flag on that sample's percent.mt-correlated cluster (R2 = 0.47). A technical artefact, not a cell type. Flagged not CCC-ready and should be excluded from any communication analysis.
