cluster	level1	level2	level3	confidence	positive_markers	negative_markers	supporting_pathways	conflicting_evidence	source	doi_or_url	notes
0	Fibroblast/Stromal	Fibroblast	ECM-remodelling / CAF-like	Moderate	SFRP2;CXCL14;C7;SFRP4;GAS1;FBLN1;FGF7;RARRES1;MGST1	PTPRC-;SOX10-;PECAM1-;MPZ-	extracellular matrix organisation; WNT modulation (SFRP2/SFRP4)	Present in all four samples but 56% MPNST_4. MPNST Mes-NC-like malignant cells also express mesenchymal/ECM programs, so a malignant MES-like identity cannot be excluded from expression alone.	Canonical fibroblast markers; MPNST Mes-NC-like state described in spatial transcriptomics of PNSTs	10.1093/neuonc/noaf016	Largest cluster. Annotated conservatively as fibroblast; see ANNOTATION_REPORT section on the fibroblast-vs-MES-like ambiguity.
1	Myeloid	Macrophage	FOLR2+ resident-like	High	RNASE1;CD163;FOLR2;F13A1;SLCO2B1;C1QA;SIGLEC1;STAB1;APOC1	SOX10-;COL1A1-;CD3D-	complement C1q; scavenger-receptor mediated endocytosis	None material	Canonical macrophage markers; FOLR2+ resident-like TAM described in NF1 nerve sheath tumours	https://pmc.ncbi.nlm.nih.gov/articles/PMC12204358/	CD163+ TAMs are the dominant myeloid population reported in NF1-associated PNST.
2	B/Plasma	Plasma cell	secretory / ER-stress high	High	IGJ(JCHAIN);MZB1;XBP1;FKBP11;SSR4;SEC11C;PRDX4;SEL1L;ERN1;SDF2L1	MS4A1-;CD3D-;SOX10-	unfolded protein response; protein export; immunoglobulin secretion	None material	Canonical plasma-cell secretory programme	https://pmc.ncbi.nlm.nih.gov/articles/PMC12204358/	Distributed across samples (43% MPNST_4), unlike the MPNST_3-restricted B/pDC clusters. Flagged C1 by M12 but not sample-restricted.
3	Fibroblast/Stromal	Fibroblast	PI16+ epineurial-like	High	PI16;APOD;PTGDS;ADH1B;ABCA8;ABCA9;WFDC1;C2orf40;CLDN1;ANGPTL7	PTPRC-;SOX10-;PECAM1-	ECM; retinoid and prostaglandin metabolism	CLDN1 is also perineurial; PI16+ fibroblasts are reported as distinct from GLUT1+ perineurial cells	PI16 marks epi-/perineurial fibroblasts distinct from GLUT1+ perineurial cells	10.1073/pnas.1913444117	Universal/adventitial PI16+ fibroblast phenotype.
4	T/NK	T cell	cytotoxic / effector-memory	High	CD3D;CD3E;CD3G;CD2;LCK;GZMA;GZMK;KLRB1;CCL5;ICOS	SOX10-;COL1A1-;LYZ-	TCR signalling; cytotoxic granule	Contains both T and NK cells; not sub-resolved at this resolution	Canonical T/NK markers	https://pmc.ncbi.nlm.nih.gov/articles/PMC5325443/	CD8+ TIL are documented in MPNST.
5	Fibroblast/Stromal	Fibroblast	COMP/CILP tendon-like ECM	Moderate	COMP;C1QTNF3;CILP2;CILP;DPT;TNMD;THBS4;FMOD;COL1A1	PTPRC-;SOX10-;PECAM1-	collagen fibril organisation	78% MPNST_4. As for C0, an MPNST Mes-NC-like malignant identity cannot be excluded from expression alone.	Canonical fibroblast/tenocyte ECM programme; MPNST Mes-NC-like state	10.1093/neuonc/noaf016	Flagged C2 (fibroblast caveat) by M12.
6	Myeloid	Macrophage	inflammatory (IL1B/CXCL)	High	IL1A;IL1B;CCL3;CCL4;CCL3L3;CCL4L1;CXCL2;CXCL3;BCL2A1	SOX10-;COL1A1-;CD3D-	NF-kB; chemokine signalling	None material	Canonical inflammatory macrophage programme	https://pubmed.ncbi.nlm.nih.gov/39321200/	Complements the FOLR2+ population in C1.
7	Malignant / tumour	Schwann-lineage tumour-like	neural adhesion / axon-guidance programme	Moderate	NDST4;TENM2;NLGN1;KCNIP1;EPHB1;COL25A1;ROBO2;AUTS2;ZNF423;CADPS	PTPRC-;COL1A1-;PECAM1-;LYZ-	axon guidance; neural cell adhesion	Lacks classical SOX10/MPZ/S100B. MPNST is reported to down-regulate Schwann differentiation markers, which is consistent, but the absence weakens a definitive call.	MPNST Schwann-cell dedifferentiation; SCP/NC-like states	10.1093/neuonc/noaf016	Conservative label; not asserted as definitively malignant.
8	Malignant / tumour	MPNST-like malignant (SCP-like)	L1CAM+ SCP-like	Moderate	L1CAM;ESPN;TGFA;PTHLH;AZGP1;MAL;OLFM1;MT1L	PTPRC-;COL1A1-;PECAM1-	neural adhesion; growth-factor signalling	91% MPNST_1, so patient-private; malignancy is inferred from lineage and provenance, not proven	L1CAM marks SCP-like malignant cells in PNST spatial transcriptomics	10.1093/neuonc/noaf016	No CNV evidence available (CNV inference is out of Phase 2 scope).
9	Malignant / tumour	MPNST-like malignant (SCP-like)	MPZ/GFRA3 differentiated Schwann-like	Moderate	MPZ;GFRA3;XKR4;SEMA3B;ABCB5;NOV(CCN3);CRYAB;RSPO3;DIRAS3	PTPRC-;COL1A1-;PECAM1-	myelination; neural crest stem programme	80% MPNST_1. MPZ retention argues for a differentiated Schwann-lineage identity; non-malignant Schwann cells cannot be excluded without CNV evidence.	Schwann-lineage markers; ABCB5 neural-crest stem marker	10.1093/neuonc/noaf016	Strongest Schwann-lineage marker evidence in the dataset (SchwannNC programme fraction 0.986).
10	Myeloid	Dendritic cell	cDC2	High	CD1C;CD1E;FCER1A;CLEC10A;LGALS2;FLT3;CFP;IL1R2	CD3D-;SOX10-;COL1A1-	antigen processing and presentation	None material	Canonical cDC2 markers	https://pmc.ncbi.nlm.nih.gov/articles/PMC12204358/	Present across samples.
11	Endothelial	Endothelial cell	tip / angiogenic	High	ESM1;ANGPT2;APLN;DLL4;FLT1;RYR2	PTPRC-;COL1A1-;SOX10-	VEGF signalling; NOTCH (DLL4) tip-cell programme	None material	Canonical tip-cell markers	https://pmc.ncbi.nlm.nih.gov/articles/PMC12204358/	Angiogenic endothelium.
12	Uncertain	Uncertain	hypoxia / GLUT1-high programme	Low	SLC2A1;VEGFA;NDRG1;ADM;PHLDA3;ENO2;PTHLH;TGFA;ITGB4;ITGA6;CAV1;CAV2	CD3D-;LYZ-;PECAM1-	HIF1A/hypoxia response; glycolysis	Two competing readings. (a) Malignant hypoxic state: shares PTHLH, TGFA and AP000462.2 with C8. (b) Perineurial cell: SLC2A1(GLUT1)+ITGB4+ITGA6+CAV1 is the reported perineurial signature.	Perineurial cells are ITGB4+/SLC2A1(GLUT1)+; GLUT1 is the standard perineurial IHC marker	https://pubmed.ncbi.nlm.nih.gov/24719203/	Deliberately left Uncertain. Resolving this needs CNV or GLUT1/EMA IHC, neither available in Phase 2.
13	Malignant / tumour	Candidate malignant	patient-private neural programme	Low	SULT1E1;COL26A1;ROBO2;CHRNA1;EDN3;TMEFF2;SEMA3A;GAD1;COL25A1;CADPS	PTPRC-;COL1A1-;PECAM1-;LYZ-	axon guidance; neuroactive ligand-receptor	99% MPNST_1 and dominated by lncRNA/pseudogene features. Patient-private expression alone is weak evidence for malignancy.	MPNST dedifferentiated states	10.1093/neuonc/noaf016	Conservative "candidate" label; low confidence.
14	Malignant / tumour	MPNST-like malignant (NC-like)	SHH-associated NC-like	Moderate	SHH;GAL3ST1;KLK6;GRIA2;ANO3;ACPP;CLDN10-AS1;LPL	PTPRC-;COL1A1-;PECAM1-	SHH signalling; sulfatide synthesis (GAL3ST1)	94% MPNST_1, patient-private	MPNST-G1 subgroup is defined by SHH pathway activation with NC-like character and worse prognosis	10.1093/neuonc/noaf016	GAL3ST1 and KLK6 are Schwann/myelin-associated, supporting a nerve-sheath lineage.
15	Other	Low-quality / mitochondrial-high	technical stress	High	MT-CYB;MT-CO1;MT-CO2;MT-CO3;MT-ATP6;MT-ND1;MT-ND4;MT-ND5	no coherent lineage programme	oxidative phosphorylation (mitochondrial transcripts)	96% MPNST_4. Phase 1 already flagged an MPNST_4 cluster correlating with percent.mt (R2 = 0.47).	Phase 1 M8 technical flag; standard scRNA-seq quality interpretation	reports/PRE_INTEGRATION_ASSESSMENT.md	Technical rather than biological. Should be excluded from biological interpretation in Phase 3.
16	Fibroblast/Stromal	Mural (pericyte / VSMC)	contractile	High	MYH11;ACTG2;MYOCD;PLN;RGS5;HIGD1B;COX4I2;FHL5;NOTCH3	PTPRC-;SOX10-;PECAM1-	smooth-muscle contraction; NOTCH3 mural programme	None material	Canonical pericyte/VSMC markers	https://pmc.ncbi.nlm.nih.gov/articles/PMC12204358/	Perivascular support cells.
17	Malignant / tumour	Candidate malignant	neural adhesion programme	Low	KIRREL3;NRXN1;NCAM2;HS3ST4;PRDM16;SORCS3;CADM1;CADM2;DGKB	PTPRC-;COL1A1-;PECAM1-	neural cell adhesion; synaptic organisation	93% MPNST_1; no classical Schwann marker	MPNST dedifferentiated/NC-like states	10.1093/neuonc/noaf016	Conservative "candidate" label.
18	Malignant / tumour	Candidate malignant	neuronal ion-channel programme	Low	KCNJ6;GPC5;PPARGC1A;UNC5D;CHRM3;SLC8A3;KCNH1;ASIC2;PTPRT;SDK1	PTPRC-;COL1A1-;PECAM1-	neuroactive ligand-receptor; ion transport	99% MPNST_1, entirely patient-private	MPNST dedifferentiated states	10.1093/neuonc/noaf016	Conservative "candidate" label; the most patient-private cluster in the dataset.
19	Endothelial	Endothelial cell	venous / lymphatic	Moderate	DARC(ACKR1);SELP;CCL14;MMRN1;SLCO2A1;RAMP3;ADAMTS18	PTPRC-;COL1A1-;SOX10-	leukocyte adhesion (SELP); atypical chemokine receptor	ACKR1/SELP are venous; MMRN1 is lymphatic. The cluster probably mixes venous and lymphatic endothelium and is not sub-resolved here.	Canonical venous and lymphatic endothelial markers	https://pmc.ncbi.nlm.nih.gov/articles/PMC12204358/	Sub-resolution would need a higher clustering resolution or targeted re-clustering.
